epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4264,5.22415,5.29383,4.16548,0.00046,0.09091,0.00631,0.0052,6.22154,5.39996,4.07258,0.000219288,0.000219288,0.000219288
2,156.479,4.8032,4.92073,3.86095,0.00029,0.09494,0.00142,0.0006,6.24493,6.46509,4.22202,0.000419761,0.000419761,0.000419761
3,229.219,4.01752,4.38676,3.162,0.39848,0.04517,0.01454,0.00598,3.84248,4.68157,2.87341,0.000598223,0.000598223,0.000598223
4,304.063,3.36212,3.76001,2.62934,0.25625,0.18813,0.05656,0.01455,3.01381,3.66311,2.37189,0.00056795,0.00056795,0.00056795
5,375.551,2.99203,3.28582,2.30172,0.32551,0.20583,0.12857,0.04294,2.72089,2.93764,2.11072,0.000534934,0.000534934,0.000534934
6,447.506,2.74876,2.93108,2.08758,0.36403,0.23609,0.17862,0.06038,2.51828,2.57689,1.9608,0.000501917,0.000501917,0.000501917
7,519.057,2.62057,2.72213,1.97357,0.4464,0.31215,0.24669,0.08996,2.37752,2.44769,1.87279,0.000468901,0.000468901,0.000468901
8,592.208,2.49836,2.54539,1.88066,0.4194,0.33995,0.2718,0.10251,2.29461,2.36868,1.81658,0.000435884,0.000435884,0.000435884
9,664.074,2.43648,2.48295,1.82449,0.29166,0.38799,0.28513,0.11086,2.1989,2.2477,1.75854,0.000402868,0.000402868,0.000402868
10,735.112,2.34235,2.35722,1.79409,0.42745,0.35416,0.33086,0.13149,2.16973,2.12415,1.74424,0.000369851,0.000369851,0.000369851
11,806.764,2.20639,2.29152,1.70327,0.58953,0.37735,0.37415,0.16187,2.05467,2.13311,1.64989,0.000336835,0.000336835,0.000336835
12,878.38,2.0936,2.16346,1.63108,0.39013,0.49628,0.4226,0.18665,2.04154,1.83144,1.63884,0.000303818,0.000303818,0.000303818
13,959.744,2.08239,2.04157,1.60132,0.50219,0.49441,0.4927,0.22603,1.98696,1.73727,1.59389,0.000270802,0.000270802,0.000270802
14,1036.67,2.02818,1.95422,1.56774,0.45774,0.49847,0.48762,0.23725,1.96835,1.79239,1.58964,0.000237785,0.000237785,0.000237785
15,1125.17,2.00456,1.88322,1.56425,0.61786,0.52851,0.55955,0.26978,1.93209,1.6048,1.56353,0.000204769,0.000204769,0.000204769
16,1208.46,1.96764,1.82466,1.53788,0.56299,0.56354,0.59085,0.28749,1.90023,1.55278,1.53928,0.000171752,0.000171752,0.000171752
17,1281.77,1.96412,1.76677,1.52638,0.68245,0.56016,0.61305,0.30172,1.90019,1.51784,1.53858,0.000138736,0.000138736,0.000138736
18,1354.37,1.93641,1.72713,1.51142,0.69005,0.59244,0.63379,0.32099,1.85884,1.45875,1.51045,0.00010572,0.00010572,0.00010572
19,1425.13,1.92988,1.70247,1.50014,0.6806,0.59403,0.64227,0.31916,1.86543,1.4509,1.52151,7.2703e-05,7.2703e-05,7.2703e-05
20,1495.75,1.93062,1.6906,1.50437,0.70581,0.59648,0.64838,0.33241,1.84281,1.42281,1.50196,3.96865e-05,3.96865e-05,3.96865e-05
